,,,,,,,Games,Games,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
1,Jerry Rice*\RiceJe00,1985,2004,1-16,TOT,NFL,303,284,1640,1549,22895,14.78,197,75.6,,
2,Larry Fitzgerald\FitzLa00,2004,2018,1-3,CRD,NFL,234,232,2154,1303,16279,12.49,116,69.6,60.5%,7.56
3,Terrell Owens*\OwenTe00,1996,2010,3-89,TOT,NFL,219,201,1867,1078,15934,14.78,153,72.8,57.7%,8.53
4,Randy Moss*\MossRa00,1998,2012,1-21,TOT,NFL,218,193,1741,982,15292,15.57,156,70.1,56.4%,8.78
5,Isaac Bruce\BrucIs00,1994,2009,2-33,TOT,NFL,223,201,1770,1024,15208,14.85,91,68.2,57.9%,8.59
6,Tony Gonzalez*\GonzTo00,1997,2013,1-13,TOT,NFL,270,254,2012,1325,15127,11.42,111,56.0,65.9%,7.52
7,Tim Brown*\BrowTi00,1988,2004,1-6,TOT,NFL,255,202,1643,1094,14934,13.65,100,58.6,,
8,Steve Smith\SmitSt01,2001,2016,3-74,TOT,NFL,219,198,1748,1031,14731,14.29,81,67.3,59.0%,8.43
9,Marvin Harrison*\HarrMa00,1996,2008,1-19,CLT,NFL,190,188,1781,1102,14580,13.23,128,76.7,61.9%,8.19
10,Reggie Wayne\WaynRe00,2001,2014,1-30,CLT,NFL,211,197,1714,1070,14345,13.41,82,68.0,62.4%,8.37
11,Andre Johnson\JohnAn02,2003,2016,1-3,TOT,NFL,193,187,1739,1062,14185,13.36,70,73.5,61.1%,8.16
12,James Lofton*\LoftJa00,1978,1993,1-6,TOT,NFL,233,212,143,764,14004,18.33,75,60.1,,
13,Cris Carter*\CartCr00,1987,2002,4-3,TOT,NFL,234,209,1515,1101,13899,12.62,130,59.4,,
14,Anquan Boldin\BoldAn00,2003,2016,2-54,TOT,NFL,202,198,1737,1076,13779,12.81,82,68.2,61.9%,7.93
15,Henry Ellard\EllaHe00,1983,1998,2-32,TOT,NFL,228,199,649,814,13777,16.93,65,60.4,,
16,Torry Holt\HoltTo00,1999,2009,1-6,TOT,NFL,173,158,1560,920,13382,14.55,74,77.4,59.0%,8.58
17,Andre Reed*\ReedAn00,1985,2000,4-86,TOT,NFL,234,217,809,951,13198,13.88,87,56.4,,
18,Steve Largent*\LargSt00,1976,1989,4-117,SEA,NFL,200,197,,819,13089,15.98,100,65.4,,
19,Irving Fryar\FryaIr00,1984,2000,1-1,TOT,NFL,255,208,998,851,12785,15.02,84,50.1,,
20,Art Monk*\MonkAr00,1980,1995,1-18,TOT,NFL,224,194,241,940,12721,13.53,68,56.8,,
21,Jason Witten\WittJa00,2003,2017,3-69,DAL,NFL,239,229,1620,1152,12448,10.81,68,52.1,71.1%,7.68
22,Brandon Marshall\MarsBr00,2006,2018,4-119,TOT,NFL,179,158,1648,970,12351,12.73,83,69.0,58.9%,7.49
23,Jimmy Smith\SmitJi00,1992,2005,2-36,TOT,NFL,178,150,1463,862,12287,14.25,67,69.0,58.9%,8.40
24,Charlie Joiner*\JoinCh00,1969,1986,4-93,TOT,TOT,239,211,,750,12146,16.19,65,50.8,,
25,Hines Ward\WardHi00,1998,2011,3-92,PIT,NFL,217,190,1558,1000,12083,12.08,85,55.7,64.2%,7.76
26,Derrick Mason\MasoDe00,1997,2011,4-98,TOT,NFL,230,169,1514,943,12061,12.79,66,52.4,62.3%,7.97
27,Michael Irvin*\IrviMi00,1988,1999,1-11,DAL,NFL,159,147,960,750,11904,15.87,65,74.9,,
28,Antonio Gates\GateAn00,2003,2018,,SDG,NFL,236,190,1459,955,11841,12.40,116,50.2,65.5%,8.12
29,Don Maynard*\MaynDo00,1958,1973,9-109,TOT,TOT,186,59,,633,11834,18.70,88,63.6,,
30,Calvin Johnson\JohnCa00,2007,2015,1-2,DET,NFL,135,130,1312,731,11619,15.89,83,86.1,55.7%,8.86
31,Muhsin Muhammad\MuhaMu00,1996,2009,2-43,TOT,NFL,202,188,1521,860,11438,13.30,62,56.6,56.5%,7.52
32,Rod Smith\SmitRo01,1995,2006,,DEN,NFL,183,158,1408,849,11389,13.41,68,62.2,60.3%,8.09
33,Keenan McCardell\McCaKe00,1992,2007,12-326,TOT,NFL,209,168,1413,883,11373,12.88,63,54.4,62.5%,8.05
34,Antonio Brown\BrowAn04,2010,2018,6-195,PIT,NFL,130,103,1275,837,11207,13.39,74,86.2,65.6%,8.79
35,Chad Johnson\JohnCh01,2001,2011,2-36,TOT,NFL,166,135,1372,766,11059,14.44,67,66.6,55.8%,8.06
36,Joey Galloway\GallJo00,1995,2010,1-8,TOT,NFL,198,175,1444,701,10950,15.62,77,55.3,48.5%,7.58
37,Roddy White\WhitRo00,2005,2015,1-27,ATL,NFL,171,149,1377,808,10863,13.44,63,63.5,58.7%,7.89
38,Gary Clark\ClarGa00,1985,1995,2-55,TOT,NFL,167,119,409,699,10856,15.53,65,65.0,,
39,Julio Jones\JoneJu02,2011,2018,1-6,ATL,NFL,111,110,1095,698,10731,15.37,51,96.7,63.7%,9.80
40,Stanley Morgan\MorgSt00,1977,1990,1-25,TOT,NFL,196,180,,557,10716,19.24,72,54.7,,
41,Keyshawn Johnson\JohnKe00,1996,2006,1-1,TOT,NFL,167,162,1426,814,10571,12.99,64,63.3,57.1%,7.41
42,Harold Jackson\JackHa00,1968,1983,12-323,TOT,NFL,208,187,,579,10372,17.91,76,49.9,,
43,Santana Moss\MossSa00,2001,2014,1-16,TOT,NFL,197,135,1268,732,10283,14.05,66,52.2,57.7%,8.11
44,Lance Alworth*\AlwoLa00,1962,1972,1-8 2-9AFL,TOT,TOT,137,59,,542,10266,18.94,85,74.9,,
45,DeSean Jackson\JackDe00,2008,2018,2-49,TOT,NFL,153,146,1057,589,10261,17.42,53,67.1,55.7%,9.71
46,Andre Rison\RisoAn00,1989,2000,1-22,TOT,NFL,186,156,1013,743,10205,13.73,84,54.9,,
47,Donald Driver\DrivDo00,1999,2012,7-213,GNB,NFL,205,155,1234,743,10137,13.64,61,49.4,60.2%,8.21
48,Shannon Sharpe*\SharSh00,1990,2003,7-192,TOT,NFL,204,169,1197,815,10060,12.34,62,49.3,,
49,Eric Moulds\MoulEr00,1996,2007,1-24,TOT,NFL,186,157,1317,764,9995,13.08,49,53.7,58.0%,7.59
50,Wes Welker\WelkWe00,2004,2015,,TOT,NFL,175,102,1275,903,9924,10.99,50,56.7,70.8%,7.78
51,Drew Hill\HillDr00,1979,1993,12-328,TOT,NFL,211,147,157,634,9831,15.51,60,46.6,,
52,Marques Colston\ColsMa00,2006,2015,7-252,NOR,NFL,146,106,1099,711,9759,13.73,72,66.8,64.7%,8.88
53,Amani Toomer\ToomAm00,1996,2008,2-34,NYG,NFL,190,141,1239,668,9497,14.22,54,50.0,53.9%,7.67
54,Rob Moore\MoorRo00,1990,1999,1-1,TOT,NFL,153,146,1087,628,9368,14.92,49,61.2,,
55,Demaryius Thomas\ThomDe03,2010,2018,1-22,TOT,NFL,132,118,1128,688,9330,13.56,62,70.7,61.0%,8.27
56,Raymond Berry*\BerrRa00,1955,1967,20-232,CLT,NFL,154,140,,631,9275,14.70,68,60.2,,
57,Herman Moore\MoorHe00,1991,2002,1-10,TOT,NFL,146,122,1138,670,9174,13.69,62,62.8,,
58,Anthony Miller\MillAn00,1988,1997,1-15,TOT,NFL,155,152,733,595,9148,15.37,63,59.0,,
59,Charley Taylor*\TaylCh00,1964,1977,1-3 2-9AFL,WAS,NFL,165,156,,649,9110,14.04,79,55.2,,
60,Vincent Jackson\JackVi00,2005,2016,2-61,TOT,NFL,155,137,1035,540,9080,16.81,57,58.6,52.2%,8.77
61,Tony Martin\MartTo00,1990,2001,5-126,TOT,NFL,177,100,1058,593,9065,15.29,56,51.2,,
62,Harold Carmichael\CarmHa00,1971,1984,7-161,TOT,NFL,182,160,,590,8985,15.23,79,49.4,,
63,Fred Biletnikoff*\BileFr00,1965,1978,3-39 2-11AFL,RAI,TOT,190,160,,589,8974,15.24,76,47.2,,
64,Mark Clayton\ClayMa00,1983,1993,8-223,TOT,NFL,158,142,139,582,8974,15.42,84,56.8,,
65,Wes Chandler\ChanWe00,1978,1988,1-3,TOT,NFL,150,131,,559,8966,16.04,56,59.8,,
66,Roy Green\GreeRo01,1979,1992,4-89,TOT,NFL,190,130,13,559,8965,16.04,66,47.2,,
67,A.J. Green\GreeA.00,2011,2018,1-4,CIN,NFL,111,111,1026,602,8907,14.80,63,80.2,58.7%,8.68
68,Ricky Proehl\ProeRi00,1990,2006,3-58,TOT,NFL,244,109,994,669,8878,13.27,54,36.4,,
69,Mark Duper\DupeMa00,1982,1992,2-52,MIA,NFL,146,136,96,511,8869,17.36,59,60.7,,
70,Terry Glenn\GlenTe00,1996,2007,1-7,TOT,NFL,137,127,1087,593,8823,14.88,44,64.4,54.6%,8.12
71,Terance Mathis\MathTe00,1990,2002,6-140,TOT,NFL,206,130,1116,689,8809,12.79,63,42.8,,
72,Mark Carrier\CarrMa00,1987,1998,3-57,TOT,NFL,177,138,604,569,8763,15.40,48,49.5,,
73,Joe Horn\HornJo00,1996,2007,5-135,TOT,NFL,163,114,1051,603,8744,14.50,58,53.6,57.4%,8.32
74,John Stallworth*\StalJo00,1974,1987,4-82,PIT,NFL,165,144,,537,8723,16.24,63,52.9,,
75,Johnnie Morton\MortJo00,1994,2005,1-21,TOT,NFL,182,156,1145,624,8719,13.97,43,47.9,54.5%,7.61
76,Cliff Branch\BranCl00,1972,1985,4-98,RAI,NFL,183,150,,501,8685,17.34,67,47.5,,
77,Laveranues Coles\ColeLa00,2000,2009,3-78,TOT,NFL,153,138,1171,674,8609,12.77,49,56.3,57.6%,7.35
78,Jordy Nelson\NelsJo00,2008,2018,2-36,TOT,NFL,151,102,924,613,8587,14.01,72,56.9,66.3%,9.29
79,Paul Warfield*\WarfPa00,1964,1977,1-11 4-28AFL,TOT,NFL,157,152,,427,8565,20.06,85,54.6,,
80,Plaxico Burress\BurrPl00,2000,2012,1-8,TOT,NFL,148,138,1104,553,8499,15.37,64,57.4,50.1%,7.70
81,Billy Howton\HowtBi00,1952,1963,2-15,TOT,NFL,142,133,,503,8459,16.82,61,59.6,,
82,Tommy McDonald*\McDoTo00,1957,1968,3-31,TOT,NFL,152,125,,495,8410,16.99,84,55.3,,
83,Eddie Kennison\KennEd00,1996,2008,1-18,TOT,NFL,179,154,1037,548,8345,15.23,42,46.6,52.8%,8.05
84,Wesley Walker\WalkWe00,1977,1989,2-33,NYJ,NFL,154,129,,438,8306,18.96,71,53.9,,
85,Greg Jennings\JennGr00,2006,2015,2-52,TOT,NFL,143,119,969,571,8291,14.52,64,58.0,58.9%,8.56
86,Carroll Dale\DaleCa00,1960,1973,8-86,TOT,NFL,189,171,,438,8277,18.90,52,43.8,,
87,Curtis Conway\ConwCu00,1993,2004,1-7,TOT,NFL,167,144,1103,594,8230,13.86,52,49.3,53.9%,7.46
88,Ernest Givins\GiviEr00,1986,1995,2-34,TOT,NFL,147,147,355,571,8215,14.39,49,55.9,,
89,Jeff Graham\GrahJe00,1991,2001,2-46,TOT,NFL,160,129,1022,542,8172,15.08,30,51.1,,
90,Eric Martin\MartEr00,1985,1994,7-179,TOT,NFL,153,119,244,553,8161,14.76,49,53.3,,
91,Sterling Sharpe\SharSt00,1988,1994,1-7,GNB,NFL,112,112,510,595,8134,13.67,65,72.6,,
92,Webster Slaughter\SlauWe00,1986,1998,2-43,TOT,NFL,162,127,468,563,8111,14.41,44,50.1,,
93,T.Y. Hilton\HiltT.00,2012,2018,3-92,CLT,NFL,108,87,878,507,8097,15.97,40,75.0,57.7%,9.22
94,Haven Moses\MoseHa00,1968,1981,1-9,TOT,TOT,199,178,,448,8091,18.06,56,40.7,,
95,Mike Wallace\WallMi00,2009,2018,3-84,TOT,NFL,144,124,942,538,8072,15.00,57,56.1,57.1%,8.57
96,Art Powell\PoweAr00,1959,1968,11-123,TOT,TOT,117,28,,479,8046,16.80,81,68.8,,
97,Bill Brooks\BrooBi00,1986,1996,4-86,TOT,NFL,169,132,344,583,8001,13.72,46,47.3,,
98,Don Hutson*\HutsDo00,1935,1945,,GNB,NFL,116,60,,488,7991,16.38,99,68.9,,
99,Tony Hill\HillTo00,1977,1986,3-62,DAL,NFL,141,112,,479,7988,16.68,51,56.7,,
100,Ozzie Newsome*\NewsOz00,1978,1990,1-23,CLE,NFL,198,191,,662,7980,12.05,47,40.3,,
101,Bobby Mitchell*\MitcBo00,1958,1968,7-84,TOT,NFL,148,129,,521,7954,15.27,65,53.7,,
102,Jackie Smith*\SmitJa00,1963,1978,10-129,TOT,NFL,210,162,,480,7918,16.50,40,37.7,,
103,Jimmy Orr\OrrxJi00,1958,1970,25-291,TOT,NFL,149,126,,400,7914,19.79,66,53.1,,
104,Rob Gronkowski\GronRo00,2010,2018,2-42,NWE,NFL,115,100,794,521,7861,15.09,79,68.4,65.6%,9.90
105,Pierre Garcon\GarcPi00,2008,2018,6-205,TOT,NFL,148,131,1041,628,7854,12.51,38,53.1,60.3%,7.54
106,Greg Olsen\OlseGr00,2007,2018,1-31,TOT,NFL,174,148,1082,666,7847,11.78,57,45.1,61.6%,7.25
107,Drew Pearson\PearDr00,1973,1983,,DAL,NFL,156,144,,489,7822,16.00,48,50.1,,
108,Bobby Engram\EngrBo00,1996,2009,2-52,TOT,NFL,176,113,1031,650,7751,11.92,35,44.0,63.0%,7.52
109,Anthony Carter\CartAn00,1985,1995,12-334,TOT,NFL,140,126,201,486,7733,15.91,55,55.2,,
110,Chris Chambers\ChamCh00,2001,2010,2-52,TOT,NFL,153,127,1109,540,7648,14.16,58,50.0,48.7%,6.90
111,Brian Blades\BladBr00,1988,1998,2-49,SEA,NFL,156,122,599,581,7620,13.12,34,48.8,,
112,Nat Moore\MoorNa00,1974,1986,3-78,MIA,NFL,183,124,,510,7546,14.80,74,41.2,,
113,Roy Jefferson\JeffRo00,1965,1976,2-18 2-14AFL,TOT,NFL,162,144,,451,7539,16.72,52,46.5,,
114,Gary Garrison\GarrGa00,1966,1977,6-77,TOT,TOT,134,125,,405,7538,18.61,58,56.3,,
115,Michael Crabtree\CrabMi00,2009,2018,1-10,TOT,NFL,141,138,1062,633,7477,11.81,54,53.0,59.6%,7.04
116,Dez Bryant\BryaDe01,2010,2017,1-24,DAL,NFL,113,99,909,531,7459,14.05,73,66.0,58.4%,8.21
117,Vernon Davis\DaviVe00,2006,2018,1-6,TOT,NFL,194,178,909,573,7439,12.98,62,38.3,63.0%,8.18
118,DeAndre Hopkins\HopkDe00,2013,2018,1-27,HTX,NFL,95,95,898,528,7437,14.09,47,78.3,58.8%,8.28
119,Jimmy Graham\GrahJi00,2010,2018,3-95,TOT,NFL,137,101,949,611,7436,12.17,71,54.3,64.4%,7.84
120,Ed McCaffrey\McCaEd00,1991,2003,3-83,TOT,NFL,185,109,874,565,7422,13.14,55,40.1,,
121,Bob Hayes*\HayeBo00,1965,1975,7-88 14-105AFL,TOT,NFL,132,107,,371,7414,19.98,71,56.2,,
122,Pete Retzlaff\RetzPe00,1956,1966,22-265,PHI,NFL,132,118,,452,7412,16.40,47,56.2,,
123,Wayne Chrebet\ChreWa00,1995,2005,,NYJ,NFL,152,104,970,580,7365,12.70,41,48.5,59.8%,7.59
124,Otis Taylor\TaylOt00,1965,1975,15-203 4-29AFL,KAN,TOT,130,72,,410,7306,17.82,57,56.2,,
125,Boyd Dowler\DowlBo00,1959,1971,3-25,TOT,NFL,162,150,,474,7270,15.34,40,44.9,,
126,Antonio Freeman\FreeAn00,1995,2003,3-90,TOT,NFL,132,91,863,477,7251,15.20,61,54.9,55.3%,8.40
127,T.J. Houshmandzadeh\HousTJ00,2001,2011,7-204,TOT,NFL,146,92,983,627,7237,11.54,44,49.6,63.8%,7.36
128,Golden Tate\TateGo00,2010,2018,2-60,TOT,NFL,140,101,904,611,7214,11.81,38,51.5,67.6%,7.98
129,Dwayne Bowe\BoweDw00,2007,2015,1-23,TOT,NFL,125,112,960,537,7208,13.42,44,57.7,55.9%,7.51
130,Lionel Taylor\TaylLi00,1959,1968,,TOT,TOT,121,26,,567,7195,12.69,45,59.5,,
131,Darrell Jackson\JackDa00,2000,2008,3-80,TOT,NFL,123,106,915,499,7132,14.29,51,58.0,54.5%,7.79
132,Carl Pickens\PickCa00,1992,2000,2-31,TOT,NFL,129,117,1014,540,7129,13.20,63,55.3,53.3%,7.03
133,Ken Burrough\BurrKe00,1970,1981,1-10,TOT,NFL,156,124,,421,7102,16.87,49,45.5,,
134,Isaac Curtis\CurtIs00,1973,1984,1-15,CIN,NFL,167,160,,416,7101,17.07,53,42.5,,
135,Reggie Rucker\RuckRe00,1970,1981,,TOT,NFL,159,140,,447,7065,15.81,44,44.4,,
136,John Gilliam\GillJo01,1967,1977,2-52,TOT,NFL,151,128,,382,7056,18.47,48,46.7,,
137,Elroy Hirsch*\HirsEl00,1946,1957,1-5,TOT,TOT,127,102,,387,7029,18.16,60,55.3,,
138,Emmanuel Sanders\SandEm00,2010,2018,3-82,TOT,NFL,127,88,885,535,7024,13.13,37,55.3,60.5%,7.94
139,Shawn Jefferson\JeffSh00,1991,2003,9-240,TOT,NFL,195,130,866,470,7023,14.94,29,36.0,,
140,Pat Tilley\TillPa00,1976,1986,4-114,CRD,NFL,147,124,,468,7005,14.97,37,47.7,,
141,Jake Reed\ReedJa00,1991,2002,3-68,TOT,NFL,155,91,848,450,6999,15.55,36,45.2,,
142,J.T. Smith\SmitJT00,1978,1990,,TOT,NFL,169,115,,544,6974,12.82,35,41.3,,
143,Derrick Alexander\AlexDe00,1994,2002,1-29,TOT,NFL,126,102,803,417,6971,16.72,40,55.3,51.9%,8.68
144,Nate Washington\WashNa00,2005,2015,,TOT,NFL,159,107,873,458,6954,15.18,44,43.7,52.5%,7.97
145,Gene Washington\WashGe00,1969,1979,1-16,TOT,NFL,140,137,,385,6856,17.81,60,49.0,,
146,Jeremy Maclin\MaclJe00,2009,2017,1-19,TOT,NFL,114,112,839,514,6835,13.30,49,60.0,61.3%,8.15
147,Ahmad Rashad\RashAh00,1972,1982,1-4,TOT,NFL,139,131,,495,6831,13.80,44,49.1,,
148,Charley Hennigan\HennCh00,1960,1966,,OTI,AFL,95,10,,410,6823,16.64,51,71.8,,
149,Dwight Clark\ClarDw00,1979,1987,10-249,SFO,NFL,134,97,,506,6750,13.34,48,50.4,,
150,Frank Sanders\SandFr00,1995,2003,2-47,TOT,NFL,136,120,958,507,6749,13.31,24,49.6,52.9%,7.04
151,Kellen Winslow*\WinsKe00,1979,1987,1-13,SDG,NFL,109,94,,541,6741,12.46,45,61.8,,
152,Frank Lewis\LewiFr00,1971,1983,1-8,TOT,NFL,155,119,,397,6724,16.94,40,43.4,,
153,Marty Booker\BookMa00,1999,2009,3-78,TOT,NFL,157,117,1003,539,6703,12.44,37,42.7,53.7%,6.68
154,Cris Collinsworth\CollCr00,1981,1988,2-37,CIN,NFL,107,90,,417,6698,16.06,36,62.6,,
155,Deion Branch\BranDe00,2002,2012,2-65,TOT,NFL,140,111,883,518,6644,12.83,39,47.5,58.7%,7.52
156,Mel Gray\GrayMe01,1971,1982,6-147,CRD,NFL,145,121,,351,6644,18.93,45,45.8,,
157,Willie Gault\GaulWi00,1983,1993,1-18,TOT,NFL,170,141,89,333,6635,19.92,44,39.0,,
158,Jerricho Cotchery\CotcJe00,2004,2015,4-108,TOT,NFL,175,89,854,524,6623,12.64,34,37.8,61.4%,7.76
159,Al Toon\ToonAl00,1985,1992,1-10,NYJ,NFL,107,95,57,517,6605,12.78,31,61.7,,
160,Brett Perriman\PerrBr00,1988,1997,2-52,TOT,NFL,153,116,708,525,6589,12.55,30,43.1,,
161,Michael Haynes\HaynMi00,1988,1997,7-166,TOT,NFL,147,113,567,428,6588,15.39,47,44.8,,
162,Heath Miller\MillHe00,2005,2015,1-30,PIT,NFL,168,167,825,592,6569,11.10,45,39.1,71.8%,7.96
163,Doug Baldwin\BaldDo00,2011,2018,,SEA,NFL,123,90,722,493,6563,13.31,49,53.4,68.3%,9.09
164,Henry Marshall\MarsHe00,1976,1987,3-79,KAN,NFL,165,135,,416,6545,15.73,33,39.7,,
165,Dante Lavelli*\LaveDa00,1946,1956,12-103,CLE,TOT,123,104,,386,6488,16.81,62,52.7,,
166,Ricky Sanders\SandRi00,1986,1995,1-16,TOT,NFL,134,66,302,483,6477,13.41,37,48.3,,
167,Del Shofner\ShofDe00,1957,1967,1-11,TOT,NFL,125,103,,349,6470,18.54,51,51.8,,
168,Mike Quick\QuicMi00,1982,1990,1-20,PHI,NFL,101,90,,363,6464,17.81,61,64.0,,
169,Quinn Early\EarlQu00,1988,1999,3-60,TOT,NFL,179,123,654,460,6448,14.02,40,36.0,,
170,Sammy White\WhitSa00,1976,1985,2-54,MIN,NFL,128,118,,393,6400,16.28,50,50.0,,
171,Ike Hilliard\HillIk00,1997,2008,1-7,TOT,NFL,161,106,905,546,6397,11.72,35,39.7,60.3%,7.07
172,Carlos Carson\CarsCa00,1980,1989,5-114,TOT,NFL,126,92,,353,6372,18.05,33,50.6,,
173,Troy Brown\BrowTr00,1993,2007,8-198,NWE,NFL,192,70,846,557,6366,11.43,31,33.2,65.8%,7.52
174,Max McGee\McGeMa00,1954,1967,5-51,GNB,NFL,148,110,,345,6346,18.39,50,42.9,,
175,Stephone Paige\PaigSt00,1983,1991,,KAN,NFL,125,81,,377,6341,16.82,49,50.7,,
176,Haywood Jeffires\JeffHa00,1987,1996,1-20,TOT,NFL,132,102,509,535,6334,11.84,50,48.0,,
177,Steve Jordan\JordSt00,1982,1994,7-179,MIN,NFL,176,149,121,498,6307,12.66,28,35.8,,
178,Sean Dawkins\DawkSe00,1993,2001,1-16,TOT,NFL,140,109,817,445,6291,14.14,25,44.9,54.5%,7.70
179,Alfred Jenkins\JenkAl00,1975,1983,,ATL,NFL,110,110,,360,6267,17.41,40,57.0,,
180,Darnay Scott\ScotDa00,1994,2002,2-30,TOT,NFL,124,104,776,408,6193,15.18,37,49.9,52.6%,7.98
181,Alshon Jeffery\JeffAl00,2012,2018,2-45,TOT,NFL,92,85,741,426,6181,14.51,41,67.2,57.5%,8.34
182,Jeremy Shockey\ShocJe00,2002,2011,1-14,TOT,NFL,136,129,884,547,6143,11.23,37,45.2,61.9%,6.95
183,Eddie Brown\BrowEd00,1985,1991,1-13,CIN,NFL,102,99,,363,6134,16.90,41,60.1,,
184,Steve Watson\WatsSt00,1979,1987,,DEN,NFL,126,87,,353,6112,17.31,36,48.5,,
185,Mike Evans\EvanMi00,2014,2018,1-7,TAM,NFL,77,76,717,395,6103,15.45,40,79.3,55.1%,8.51
186,Ronnie Harmon\HarmRo00,1986,1997,1-16,TOT,NFL,181,27,462,582,6076,10.44,24,33.6,,
187,Red Phillips\PhilJi00,1958,1967,1-5,TOT,NFL,119,104,,401,6044,15.07,34,50.8,,
188,Lenny Moore*\MoorLe00,1956,1967,1-9,CLT,NFL,143,118,,363,6039,16.64,48,42.2,,
189,Santonio Holmes\HolmSa00,2006,2014,1-25,TOT,NFL,112,91,734,389,6030,15.50,36,53.8,53.0%,8.22
190,Louis Lipps\LippLo00,1984,1992,1-23,TOT,NFL,110,98,1,359,6019,16.77,39,54.7,,
191,Jack Snow\SnowJa00,1965,1975,1-8 7-54AFL,RAM,NFL,150,139,,340,6012,17.68,45,40.1,,
192,Lee Evans\EvanLe00,2004,2011,1-13,TOT,NFL,118,104,724,381,6008,15.77,43,50.9,52.6%,8.30
193,Sonny Randle\RandSo00,1959,1968,19-218,TOT,NFL,122,95,,365,5996,16.43,65,49.1,,
194,Brandon Lloyd\LloyBr00,2003,2014,4-124,TOT,NFL,142,91,831,399,5989,15.01,36,42.2,48.0%,7.21
195,Bobby Joe Conrad\ConrBo00,1958,1969,5-58,TOT,NFL,156,135,,422,5902,13.99,38,37.8,,
196,Billy Wilson\WilsBi00,1951,1960,22-283,SFO,NFL,103,95,,407,5902,14.50,49,57.3,,
197,Ben Watson\WatsBe00,2004,2018,1-32,TOT,NFL,195,135,836,530,5885,11.10,44,30.2,63.4%,7.04
198,Todd Christensen\ChriTo00,1979,1988,2-56,TOT,NFL,137,90,,461,5872,12.74,41,42.9,,
199,Todd Heap\HeapTo00,2001,2012,1-31,TOT,NFL,145,131,817,499,5869,11.76,42,40.5,61.1%,7.18
200,James Jones\JoneJa04,2007,2015,3-78,TOT,NFL,136,72,716,433,5861,13.54,51,43.1,60.5%,8.19